2026-08-09 16:18:26 | INFO | app.api.routes.appointments | Appointment cancelled atomically: appointment_id=1
2026-08-09 16:31:35 | INFO | app.services.wallet_service | Wallet created successfully: user_id=1 wallet_id=1
2026-08-09 16:31:36 | INFO | app.services.wallet_service | Wallet created successfully: user_id=2 wallet_id=2
2026-08-09 16:31:36 | INFO | app.services.wallet_service | Transfer fee requested: patient_id=1 doctor_id=2 amount=150000.00 appointment_id=None commit=False
2026-08-09 16:31:36 | WARNING | app.services.wallet_service | Insufficient funds: patient_id=1 wallet_id=1 balance=0.00 amount=150000.00
2026-08-09 16:31:36 | WARNING | app.api.routes.appointments | Booking rolled back due to validation: موجودی کیف پول بیمار کافی نیست
2026-08-09 16:31:41 | INFO | app.services.wallet_service | Wallet created successfully: user_id=1 wallet_id=1
2026-08-09 16:31:41 | INFO | app.services.wallet_service | Wallet created successfully: user_id=2 wallet_id=2
2026-08-09 16:31:41 | INFO | app.services.wallet_service | Deposit requested: user_id=1 amount=150000.00 description=شارژ تست commit=True
2026-08-09 16:31:41 | INFO | app.services.wallet_service | Deposit successful (Committed): user_id=1 wallet_id=1 amount=150000.00 tracking_code=DEP-1F84B7164E
2026-08-09 16:31:41 | INFO | app.services.wallet_service | Transfer fee requested: patient_id=1 doctor_id=2 amount=150000.00 appointment_id=None commit=False
2026-08-09 16:31:41 | INFO | app.services.wallet_service | Transfer fee processed (Flushed): patient_id=1 doctor_id=2
2026-08-09 16:31:41 | INFO | app.api.routes.appointments | Atomic booking completed successfully: patient_id=1, appointment_id=1, fee=150000
2026-08-09 16:31:41 | INFO | app.services.wallet_service | Wallet created successfully: user_id=1 wallet_id=1
2026-08-09 16:31:41 | INFO | app.services.wallet_service | Wallet created successfully: user_id=2 wallet_id=2
2026-08-09 16:31:41 | INFO | app.services.wallet_service | Deposit requested: user_id=1 amount=150000.00 description=شارژ جهت تست ریفاند commit=True
2026-08-09 16:31:41 | INFO | app.services.wallet_service | Deposit successful (Committed): user_id=1 wallet_id=1 amount=150000.00 tracking_code=DEP-8A192A4758
2026-08-09 16:31:41 | INFO | app.services.wallet_service | Transfer fee requested: patient_id=1 doctor_id=2 amount=150000.00 appointment_id=None commit=False
2026-08-09 16:31:41 | INFO | app.services.wallet_service | Transfer fee processed (Flushed): patient_id=1 doctor_id=2
2026-08-09 16:31:41 | INFO | app.api.routes.appointments | Atomic booking completed successfully: patient_id=1, appointment_id=1, fee=150000
2026-08-09 16:31:42 | INFO | app.services.wallet_service | Refund requested: transaction_id=2 commit=False
2026-08-09 16:31:42 | INFO | app.services.wallet_service | Refund processed (Flushed): transaction_id=2
2026-08-09 16:31:42 | INFO | app.api.routes.appointments | Appointment cancelled atomically: appointment_id=1
2026-08-09 16:34:50 | INFO | app.services.wallet_service | Wallet created successfully: user_id=1 wallet_id=1
2026-08-09 16:34:50 | INFO | app.services.wallet_service | Wallet created successfully: user_id=2 wallet_id=2
2026-08-09 16:34:50 | INFO | app.services.wallet_service | Transfer fee requested: patient_id=1 doctor_id=2 amount=150000.00 appointment_id=None commit=False
2026-08-09 16:34:50 | WARNING | app.services.wallet_service | Insufficient funds: patient_id=1 wallet_id=1 balance=0.00 amount=150000.00
2026-08-09 16:34:50 | WARNING | app.api.routes.appointments | Booking rolled back due to validation: موجودی کیف پول بیمار کافی نیست
2026-08-09 16:34:50 | INFO | app.services.wallet_service | Wallet created successfully: user_id=1 wallet_id=1
2026-08-09 16:34:50 | INFO | app.services.wallet_service | Wallet created successfully: user_id=2 wallet_id=2
2026-08-09 16:34:51 | INFO | app.services.wallet_service | Deposit requested: user_id=1 amount=150000.00 description=شارژ تست commit=True
2026-08-09 16:34:51 | INFO | app.services.wallet_service | Deposit successful (Committed): user_id=1 wallet_id=1 amount=150000.00 tracking_code=DEP-B0239D8D23
2026-08-09 16:34:51 | INFO | app.services.wallet_service | Transfer fee requested: patient_id=1 doctor_id=2 amount=150000.00 appointment_id=None commit=False
2026-08-09 16:34:51 | INFO | app.services.wallet_service | Transfer fee processed (Flushed): patient_id=1 doctor_id=2
2026-08-09 16:34:51 | INFO | app.api.routes.appointments | Atomic booking completed successfully: patient_id=1, appointment_id=1, fee=150000
2026-08-09 16:34:51 | INFO | app.services.wallet_service | Wallet created successfully: user_id=1 wallet_id=1
2026-08-09 16:34:51 | INFO | app.services.wallet_service | Wallet created successfully: user_id=2 wallet_id=2
2026-08-09 16:34:51 | INFO | app.services.wallet_service | Deposit requested: user_id=1 amount=150000.00 description=شارژ جهت تست ریفاند commit=True
2026-08-09 16:34:51 | INFO | app.services.wallet_service | Deposit successful (Committed): user_id=1 wallet_id=1 amount=150000.00 tracking_code=DEP-AC35B31546
2026-08-09 16:34:51 | INFO | app.services.wallet_service | Transfer fee requested: patient_id=1 doctor_id=2 amount=150000.00 appointment_id=None commit=False
2026-08-09 16:34:51 | INFO | app.services.wallet_service | Transfer fee processed (Flushed): patient_id=1 doctor_id=2
2026-08-09 16:34:51 | INFO | app.api.routes.appointments | Atomic booking completed successfully: patient_id=1, appointment_id=1, fee=150000
2026-08-09 16:34:51 | INFO | app.services.wallet_service | Refund requested: transaction_id=2 commit=False
2026-08-09 16:34:51 | INFO | app.services.wallet_service | Refund processed (Flushed): transaction_id=2
2026-08-09 16:34:51 | INFO | app.api.routes.appointments | Appointment cancelled atomically: appointment_id=1
